expense,category,amount,currency,date
haircut this week,Personal Care,7913,PKR,2026-02-04
paid mobile bill this week,Utilities,11287,PKR,2026-05-15
bought concert ticket today,Entertainment,11600,PKR,2026-02-23
booked hotel,Travel,139660,PKR,2026-01-23
paid online bill online,Bills & Payments,79769,PKR,2026-07-21
general expense yesterday,Other,10470,PKR,2026-03-08
bought perfume for family,Personal Care,5997,PKR,2026-02-03
booked bus ticket yesterday,Travel,137237,PKR,2026-07-06
bought home appliances yesterday,Home & Rent,48161,PKR,2026-08-15
booked flight online,Travel,77149,PKR,2026-02-19
bought fruits,Food & Groceries,7716,PKR,2026-06-10
paid mobile bill today,Utilities,14086,PKR,2026-04-16
restaurant dinner this week,Food & Groceries,9281,PKR,2026-07-26
paid apartment rent,Home & Rent,53740,PKR,2026-06-26
bought notebooks,Education,40840,PKR,2026-03-18
bought perfume this week,Personal Care,12767,PKR,2026-01-02
paid mobile bill this week,Utilities,11685,PKR,2026-04-12
miscellaneous purchase for family,Other,1054,PKR,2026-08-02
paid taxi fare this week,Transportation,13761,PKR,2026-03-28
bought home appliances yesterday,Home & Rent,10321,PKR,2026-06-15
changed car oil today,Transportation,10376,PKR,2026-04-28
bought skincare products yesterday,Personal Care,13044,PKR,2026-07-28
played games,Entertainment,13882,PKR,2026-05-14
paid course fee for family,Education,70739,PKR,2026-01-05
online shopping online,Shopping,11169,PKR,2026-07-24
bought medicine today,Healthcare,18680,PKR,2026-08-04
restaurant dinner yesterday,Food & Groceries,10364,PKR,2026-05-17
car maintenance today,Transportation,9851,PKR,2026-01-30
paid course fee online,Education,4645,PKR,2026-03-11
watched a movie yesterday,Entertainment,14569,PKR,2026-03-02
bought vitamins this week,Healthcare,14464,PKR,2026-05-15
bought stationery,Education,49549,PKR,2026-07-20
bought eggs,Food & Groceries,7370,PKR,2026-05-10
bought cooking oil for family,Food & Groceries,2624,PKR,2026-02-18
bought vitamins online,Healthcare,34616,PKR,2026-03-21
paid doctor fee,Healthcare,34126,PKR,2026-06-23
paid taxi fare online,Transportation,698,PKR,2026-04-28
played games for family,Entertainment,2097,PKR,2026-01-02
paid university fee online,Education,78394,PKR,2026-08-12
paid water bill yesterday,Utilities,2011,PKR,2026-01-27
bought personal care items online,Personal Care,5319,PKR,2026-01-06
travel expenses this week,Travel,56009,PKR,2026-03-24
bought trousers this week,Shopping,9365,PKR,2026-05-17
bought prescription medicine yesterday,Healthcare,44282,PKR,2026-01-31
bought stationery today,Education,36366,PKR,2026-01-30
bought fruits today,Food & Groceries,8988,PKR,2026-03-31
bought skincare products this week,Personal Care,2519,PKR,2026-06-30
paid school fee today,Education,9837,PKR,2026-03-21
bought train ticket for family,Travel,117299,PKR,2026-01-13
filled petrol in car yesterday,Transportation,14899,PKR,2026-06-22
bought fruits yesterday,Food & Groceries,981,PKR,2026-01-23
went to amusement park today,Entertainment,11745,PKR,2026-06-02
paid hotel bill online,Travel,117873,PKR,2026-06-07
visited hospital this week,Healthcare,13285,PKR,2026-07-02
home repair for family,Home & Rent,21590,PKR,2026-07-13
paid service fee today,Bills & Payments,12678,PKR,2026-07-28
other payment,Other,15028,PKR,2026-03-21
bought cleaning supplies online,Home & Rent,123000,PKR,2026-05-01
bought trousers today,Shopping,28516,PKR,2026-08-18
bought train ticket this week,Travel,103780,PKR,2026-02-16
general expense this week,Other,14953,PKR,2026-05-05
bought vegetables yesterday,Food & Groceries,1949,PKR,2026-03-31
paid monthly bill today,Bills & Payments,37496,PKR,2026-07-16
paid medical bill for family,Healthcare,8648,PKR,2026-05-11
paid internet bill online,Utilities,4005,PKR,2026-03-25
bought personal care items,Personal Care,13183,PKR,2026-03-19
visited salon yesterday,Personal Care,9875,PKR,2026-04-16
online shopping today,Shopping,18255,PKR,2026-02-10
paid monthly bill,Bills & Payments,45158,PKR,2026-02-23
miscellaneous purchase yesterday,Other,14365,PKR,2026-05-26
paid medical bill online,Healthcare,15776,PKR,2026-02-14
bought cleaning supplies,Home & Rent,128567,PKR,2026-01-30
booked bus ticket yesterday,Travel,86295,PKR,2026-05-23
paid internet bill today,Utilities,10593,PKR,2026-04-14
paid utility bill,Utilities,12916,PKR,2026-03-25
paid online bill online,Bills & Payments,8558,PKR,2026-01-24
bought shirt for family,Shopping,29897,PKR,2026-07-13
home repair,Home & Rent,39463,PKR,2026-06-19
changed car oil for family,Transportation,4875,PKR,2026-04-10
booked bus ticket yesterday,Travel,52292,PKR,2026-02-22
bought furniture this week,Home & Rent,80835,PKR,2026-04-22
general expense,Other,19194,PKR,2026-01-03
booked bus ticket yesterday,Travel,34437,PKR,2026-08-07
paid university fee this week,Education,72443,PKR,2026-01-14
restaurant lunch,Food & Groceries,14210,PKR,2026-03-14
bought chicken yesterday,Food & Groceries,11605,PKR,2026-06-01
played games this week,Entertainment,11861,PKR,2026-04-08
went to amusement park yesterday,Entertainment,9131,PKR,2026-02-24
paid apartment rent yesterday,Home & Rent,37456,PKR,2026-02-18
visited salon this week,Personal Care,13961,PKR,2026-04-17
booked ride online,Transportation,2156,PKR,2026-02-04
bought vegetables online,Food & Groceries,357,PKR,2026-02-06
other payment online,Other,14410,PKR,2026-02-04
paid gas bill online,Utilities,14126,PKR,2026-08-09
paid online bill for family,Bills & Payments,56297,PKR,2026-06-09
changed car oil for family,Transportation,7048,PKR,2026-05-22
paid monthly bill this week,Bills & Payments,30088,PKR,2026-02-17
bought concert ticket,Entertainment,9668,PKR,2026-05-08
paid miscellaneous charges online,Other,16540,PKR,2026-03-10
bought concert ticket for family,Entertainment,6212,PKR,2026-01-09
bought cooking oil online,Food & Groceries,6138,PKR,2026-01-29
paid travel fare online,Travel,21988,PKR,2026-02-06
miscellaneous purchase this week,Other,15335,PKR,2026-05-13
paid utility bill for family,Utilities,3398,PKR,2026-03-04
paid online bill online,Bills & Payments,87497,PKR,2026-06-21
paid mobile bill online,Utilities,18168,PKR,2026-07-24
bought train ticket for family,Travel,14834,PKR,2026-08-20
paid medical bill,Healthcare,31027,PKR,2026-04-27
visited salon for family,Personal Care,12222,PKR,2026-03-26
paid streaming subscription this week,Entertainment,4938,PKR,2026-02-12
bought flour online,Food & Groceries,12961,PKR,2026-05-25
paid university fee online,Education,62518,PKR,2026-05-29
filled petrol in car online,Transportation,4880,PKR,2026-07-27
miscellaneous purchase,Other,9498,PKR,2026-05-05
paid gas bill for family,Utilities,3018,PKR,2026-08-06
bought notebooks today,Education,81213,PKR,2026-03-13
bought notebooks,Education,97680,PKR,2026-01-29
booked flight for family,Travel,40619,PKR,2026-06-18
paid bank charges today,Bills & Payments,34742,PKR,2026-07-20
paid miscellaneous charges yesterday,Other,6024,PKR,2026-07-24
haircut this week,Personal Care,1582,PKR,2026-02-07
travel expenses today,Travel,131009,PKR,2026-07-12
paid gaming subscription yesterday,Entertainment,4098,PKR,2026-06-19
paid online bill online,Bills & Payments,22426,PKR,2026-02-23
paid hotel bill this week,Travel,15241,PKR,2026-06-14
bought books,Education,22467,PKR,2026-04-29
went to amusement park this week,Entertainment,8003,PKR,2026-07-11
bought shampoo yesterday,Personal Care,11398,PKR,2026-06-30
went to amusement park this week,Entertainment,2578,PKR,2026-05-16
watched a movie this week,Entertainment,13263,PKR,2026-04-25
played games this week,Entertainment,8887,PKR,2026-06-24
bought fruits for family,Food & Groceries,10543,PKR,2026-04-01
bought concert ticket online,Entertainment,14263,PKR,2026-03-11
visited hospital this week,Healthcare,6740,PKR,2026-03-07
paid maintenance charges yesterday,Home & Rent,121876,PKR,2026-07-17
bought cleaning supplies today,Home & Rent,52098,PKR,2026-05-14
dental checkup online,Healthcare,12091,PKR,2026-03-22
haircut online,Personal Care,338,PKR,2026-08-01
paid electricity bill yesterday,Utilities,3701,PKR,2026-05-15
paid mobile bill yesterday,Utilities,12018,PKR,2026-02-26
general expense this week,Other,6426,PKR,2026-01-09
bought vegetables,Food & Groceries,9834,PKR,2026-06-18
online shopping online,Shopping,4290,PKR,2026-07-01
paid electricity bill for family,Utilities,4756,PKR,2026-04-07
home repair online,Home & Rent,149391,PKR,2026-07-25
filled fuel online,Transportation,3118,PKR,2026-03-06
paid exam fee online,Education,10424,PKR,2026-06-13
paid bank charges yesterday,Bills & Payments,91230,PKR,2026-08-20
home repair this week,Home & Rent,68459,PKR,2026-02-11
paid water bill,Utilities,13043,PKR,2026-04-10
bought medicine this week,Healthcare,17645,PKR,2026-02-15
paid credit card bill yesterday,Bills & Payments,26802,PKR,2026-06-06
bought movie ticket online,Entertainment,8261,PKR,2026-01-28
car maintenance today,Transportation,10159,PKR,2026-06-14
paid internet bill online,Utilities,8986,PKR,2026-01-27
bought vegetables,Food & Groceries,9460,PKR,2026-07-06
paid exam fee,Education,65734,PKR,2026-02-08
bought cleaning supplies,Home & Rent,10918,PKR,2026-06-20
paid streaming subscription today,Entertainment,11669,PKR,2026-03-26
bought concert ticket,Entertainment,8644,PKR,2026-07-01
paid monthly bill yesterday,Bills & Payments,53441,PKR,2026-08-05
miscellaneous expense for family,Other,7500,PKR,2026-01-01
played games yesterday,Entertainment,2185,PKR,2026-05-26
bought skincare products this week,Personal Care,11371,PKR,2026-03-19
watched a movie online,Entertainment,10801,PKR,2026-01-24
paid medical bill this week,Healthcare,5572,PKR,2026-08-04
paid bank charges online,Bills & Payments,27123,PKR,2026-02-15
haircut yesterday,Personal Care,11025,PKR,2026-02-18
bought educational material,Education,83156,PKR,2026-06-26
bought vitamins,Healthcare,41770,PKR,2026-04-23
paid miscellaneous charges today,Other,1269,PKR,2026-02-19
bought chicken yesterday,Food & Groceries,6469,PKR,2026-01-17
bought personal care items this week,Personal Care,8386,PKR,2026-05-17
paid credit card bill,Bills & Payments,44970,PKR,2026-01-15
bought prescription medicine online,Healthcare,3105,PKR,2026-04-14
paid gas bill online,Utilities,17641,PKR,2026-04-28
home repair for family,Home & Rent,40047,PKR,2026-07-09
booked flight,Travel,10667,PKR,2026-07-08
changed car oil online,Transportation,412,PKR,2026-05-01
booked hotel today,Travel,35219,PKR,2026-01-04
filled petrol in car this week,Transportation,13546,PKR,2026-07-23
paid internet bill for family,Utilities,6093,PKR,2026-08-02
booked hotel,Travel,30931,PKR,2026-05-08
travel expenses for family,Travel,58821,PKR,2026-01-17
bought cosmetics this week,Shopping,26891,PKR,2026-08-02
other payment this week,Other,4058,PKR,2026-06-25
booked bus ticket today,Travel,85302,PKR,2026-08-03
bought new shoes for family,Shopping,5983,PKR,2026-03-27
paid electricity bill this week,Utilities,5128,PKR,2026-07-13
bought movie ticket online,Entertainment,6260,PKR,2026-05-22
changed car oil today,Transportation,9635,PKR,2026-01-11
filled fuel online,Transportation,10134,PKR,2026-04-07
filled petrol in car yesterday,Transportation,1422,PKR,2026-01-02
bought bread,Food & Groceries,11679,PKR,2026-06-16
bought train ticket yesterday,Travel,125783,PKR,2026-06-27
paid taxi fare today,Transportation,10582,PKR,2026-03-11
visited salon yesterday,Personal Care,4119,PKR,2026-02-14
paid hotel bill,Travel,48186,PKR,2026-07-03
paid service fee,Bills & Payments,82707,PKR,2026-07-31
paid course fee yesterday,Education,1099,PKR,2026-05-23
bought trousers,Shopping,17673,PKR,2026-01-25
bought train ticket for family,Travel,134048,PKR,2026-02-26
paid online bill online,Bills & Payments,27777,PKR,2026-03-12
bought eggs,Food & Groceries,13151,PKR,2026-02-08
home repair yesterday,Home & Rent,131420,PKR,2026-02-15
filled petrol in car,Transportation,10665,PKR,2026-04-04
paid school fee yesterday,Education,33449,PKR,2026-03-27
travel expenses yesterday,Travel,12355,PKR,2026-01-27
miscellaneous expense for family,Other,5863,PKR,2026-02-10
bought cooking oil for family,Food & Groceries,2001,PKR,2026-01-19
bought accessories for family,Shopping,19297,PKR,2026-03-25
bought movie ticket online,Entertainment,11289,PKR,2026-08-18
paid doctor fee,Healthcare,21673,PKR,2026-02-28
paid gas bill online,Utilities,14019,PKR,2026-08-11
bought cosmetics today,Shopping,2709,PKR,2026-05-01
paid travel fare,Travel,115259,PKR,2026-02-07
online shopping yesterday,Shopping,6134,PKR,2026-04-10
paid doctor fee yesterday,Healthcare,47474,PKR,2026-02-19
bought furniture this week,Home & Rent,54008,PKR,2026-03-27
filled petrol in car online,Transportation,9417,PKR,2026-01-16
bought stationery,Education,61518,PKR,2026-04-28
bought movie ticket this week,Entertainment,3802,PKR,2026-08-15
bought stationery online,Education,80654,PKR,2026-08-20
paid taxi fare,Transportation,6845,PKR,2026-08-08
visited salon today,Personal Care,9892,PKR,2026-05-02
paid bank charges,Bills & Payments,96184,PKR,2026-04-20
paid miscellaneous charges today,Other,10824,PKR,2026-04-22
booked flight for family,Travel,40051,PKR,2026-05-27
ordered food,Food & Groceries,756,PKR,2026-05-01
miscellaneous purchase,Other,14049,PKR,2026-05-16
went to amusement park online,Entertainment,13656,PKR,2026-01-26
paid monthly bill today,Bills & Payments,11390,PKR,2026-05-23
ordered food today,Food & Groceries,2274,PKR,2026-04-02
paid school fee online,Education,12392,PKR,2026-01-05
paid online bill this week,Bills & Payments,21707,PKR,2026-06-30
paid service fee online,Bills & Payments,77001,PKR,2026-01-07
paid monthly bill today,Bills & Payments,92661,PKR,2026-04-14
paid rickshaw fare online,Transportation,7707,PKR,2026-06-30
paid house rent online,Home & Rent,19533,PKR,2026-04-09
general expense for family,Other,1171,PKR,2026-03-17
paid gaming subscription this week,Entertainment,11636,PKR,2026-06-06
bought perfume today,Personal Care,13105,PKR,2026-06-25
paid utility bill this week,Utilities,2296,PKR,2026-05-12
bought furniture,Home & Rent,30089,PKR,2026-04-09
bought vitamins for family,Healthcare,2978,PKR,2026-04-04
paid doctor fee online,Healthcare,36920,PKR,2026-06-30
paid utility bill online,Utilities,7208,PKR,2026-02-05
paid doctor fee for family,Healthcare,7742,PKR,2026-06-16
paid online bill for family,Bills & Payments,92623,PKR,2026-02-23
paid miscellaneous charges this week,Other,11657,PKR,2026-08-18
bought educational material this week,Education,7638,PKR,2026-01-17
visited hospital yesterday,Healthcare,32165,PKR,2026-05-09
haircut yesterday,Personal Care,11829,PKR,2026-05-17
home repair for family,Home & Rent,77615,PKR,2026-04-26
bought train ticket online,Travel,18203,PKR,2026-02-18
paid credit card bill,Bills & Payments,51707,PKR,2026-08-18
booked ride,Transportation,1891,PKR,2026-02-12
bought books online,Education,19892,PKR,2026-05-08
paid taxi fare for family,Transportation,10377,PKR,2026-01-06
bought educational material online,Education,71466,PKR,2026-02-03
paid bank charges yesterday,Bills & Payments,58677,PKR,2026-07-08
paid house rent this week,Home & Rent,50561,PKR,2026-01-17
bought chicken for family,Food & Groceries,10662,PKR,2026-03-27
bought concert ticket this week,Entertainment,10943,PKR,2026-06-15
bought vitamins for family,Healthcare,43937,PKR,2026-06-28
bought perfume yesterday,Personal Care,7703,PKR,2026-03-19
booked flight this week,Travel,46019,PKR,2026-07-22
paid school fee yesterday,Education,49245,PKR,2026-03-15
bought milk this week,Food & Groceries,4759,PKR,2026-04-27
paid bus fare online,Transportation,8870,PKR,2026-03-15
paid bus fare online,Transportation,11451,PKR,2026-08-20
home repair today,Home & Rent,43271,PKR,2026-03-02
paid electricity bill this week,Utilities,19326,PKR,2026-02-02
paid bank charges this week,Bills & Payments,24682,PKR,2026-02-22
bought personal care items,Personal Care,11104,PKR,2026-03-23
paid doctor fee this week,Healthcare,29688,PKR,2026-05-19
booked ride,Transportation,508,PKR,2026-04-14
paid loan installment yesterday,Bills & Payments,42471,PKR,2026-02-09
restaurant dinner online,Food & Groceries,11658,PKR,2026-03-17
paid bank charges for family,Bills & Payments,87910,PKR,2026-02-07
paid hotel bill yesterday,Travel,89784,PKR,2026-06-26
paid mobile bill yesterday,Utilities,1813,PKR,2026-02-05
paid maintenance charges,Home & Rent,81761,PKR,2026-01-07
bought concert ticket today,Entertainment,7506,PKR,2026-04-02
paid water bill,Utilities,6894,PKR,2026-05-30
bought shampoo this week,Personal Care,3406,PKR,2026-01-06
paid utility bill yesterday,Utilities,3363,PKR,2026-05-12
bought movie ticket yesterday,Entertainment,5406,PKR,2026-06-04
booked bus ticket,Travel,95650,PKR,2026-04-12
car maintenance this week,Transportation,6426,PKR,2026-04-06
bought flour this week,Food & Groceries,5856,PKR,2026-03-20
paid service fee,Bills & Payments,28771,PKR,2026-07-06
paid online bill yesterday,Bills & Payments,58499,PKR,2026-03-15
car maintenance online,Transportation,14787,PKR,2026-04-17
filled fuel today,Transportation,3504,PKR,2026-03-19
paid service fee this week,Bills & Payments,9165,PKR,2026-06-01
watched a movie,Entertainment,6908,PKR,2026-06-13
bought educational material today,Education,73351,PKR,2026-04-29
miscellaneous purchase today,Other,6629,PKR,2026-02-17
paid streaming subscription for family,Entertainment,8237,PKR,2026-01-11
bought notebooks yesterday,Education,73806,PKR,2026-07-09
paid loan installment,Bills & Payments,820,PKR,2026-02-09
bought notebooks online,Education,83935,PKR,2026-05-01
paid mobile bill online,Utilities,9926,PKR,2026-04-17
changed car oil online,Transportation,10664,PKR,2026-03-04
bought fruits this week,Food & Groceries,8178,PKR,2026-01-18
paid hotel bill this week,Travel,126956,PKR,2026-05-25
paid gaming subscription this week,Entertainment,10489,PKR,2026-06-25
paid online bill,Bills & Payments,49416,PKR,2026-05-12
miscellaneous purchase,Other,8604,PKR,2026-02-11
booked hotel today,Travel,84802,PKR,2026-04-29
paid miscellaneous charges this week,Other,5451,PKR,2026-01-14
paid course fee yesterday,Education,83894,PKR,2026-04-02
bought flour this week,Food & Groceries,8777,PKR,2026-06-13
paid utility bill today,Utilities,6504,PKR,2026-07-15
paid utility bill today,Utilities,18316,PKR,2026-03-24
bought prescription medicine online,Healthcare,20031,PKR,2026-03-11
bought cleaning supplies online,Home & Rent,96033,PKR,2026-01-25
bought perfume this week,Personal Care,13689,PKR,2026-02-06
bought milk for family,Food & Groceries,4710,PKR,2026-04-06
paid monthly bill this week,Bills & Payments,21868,PKR,2026-01-27
bought shirt for family,Shopping,7545,PKR,2026-08-01
bought household items for family,Shopping,22898,PKR,2026-08-01
bought perfume online,Personal Care,9229,PKR,2026-06-29
paid internet bill yesterday,Utilities,3003,PKR,2026-01-30
filled petrol in car yesterday,Transportation,5805,PKR,2026-03-21
general expense today,Other,14581,PKR,2026-08-16
booked bus ticket this week,Travel,46143,PKR,2026-07-01
paid university fee online,Education,16044,PKR,2026-02-26
paid bus fare online,Transportation,3812,PKR,2026-03-20
paid taxi fare today,Transportation,1387,PKR,2026-04-19
miscellaneous expense,Other,716,PKR,2026-07-18
paid monthly bill,Bills & Payments,26236,PKR,2026-01-28
grocery shopping yesterday,Food & Groceries,2048,PKR,2026-03-06
bought vegetables this week,Food & Groceries,11037,PKR,2026-01-03
paid electricity bill for family,Utilities,7230,PKR,2026-05-31
bought shirt online,Shopping,11819,PKR,2026-01-08
paid gas bill online,Utilities,9589,PKR,2026-05-29
visited hospital today,Healthcare,33109,PKR,2026-07-19
miscellaneous purchase today,Other,16644,PKR,2026-05-26
paid electricity bill for family,Utilities,958,PKR,2026-05-16
bought trousers this week,Shopping,5928,PKR,2026-08-19
haircut online,Personal Care,1816,PKR,2026-02-24
bought personal care items yesterday,Personal Care,6204,PKR,2026-06-28
booked flight yesterday,Travel,29134,PKR,2026-02-16
bought vitamins yesterday,Healthcare,14342,PKR,2026-05-12
bought cosmetics,Shopping,25249,PKR,2026-03-22
paid internet bill,Utilities,17530,PKR,2026-02-04
paid bank charges online,Bills & Payments,38284,PKR,2026-05-23
miscellaneous expense,Other,10851,PKR,2026-05-07
paid internet bill this week,Utilities,15473,PKR,2026-06-03
general expense online,Other,14647,PKR,2026-02-27
visited salon this week,Personal Care,14214,PKR,2026-04-20
bought clothes yesterday,Shopping,22553,PKR,2026-04-05
filled petrol in car online,Transportation,8155,PKR,2026-06-22
paid internet bill yesterday,Utilities,17626,PKR,2026-06-18
paid house rent,Home & Rent,38582,PKR,2026-04-12
played games for family,Entertainment,1866,PKR,2026-07-09
filled fuel this week,Transportation,3361,PKR,2026-03-28
online shopping yesterday,Shopping,4322,PKR,2026-03-01
played games yesterday,Entertainment,4763,PKR,2026-07-15
miscellaneous purchase for family,Other,9044,PKR,2026-07-13
bought home appliances this week,Home & Rent,125735,PKR,2026-06-20
paid travel fare yesterday,Travel,135064,PKR,2026-03-13
changed car oil,Transportation,2101,PKR,2026-03-06
paid monthly bill today,Bills & Payments,82861,PKR,2026-02-04
bought fruits online,Food & Groceries,965,PKR,2026-08-01
paid internet bill online,Utilities,1376,PKR,2026-02-15
bought concert ticket online,Entertainment,5556,PKR,2026-02-09
bought books,Education,87149,PKR,2026-07-12
visited salon yesterday,Personal Care,3508,PKR,2026-03-17
bought home appliances yesterday,Home & Rent,133328,PKR,2026-03-08
bought skincare products for family,Personal Care,9155,PKR,2026-01-05
ordered food,Food & Groceries,6385,PKR,2026-04-26
bought prescription medicine yesterday,Healthcare,29303,PKR,2026-04-28
grocery shopping today,Food & Groceries,9220,PKR,2026-06-18
bought stationery yesterday,Education,56950,PKR,2026-02-04
bought educational material yesterday,Education,14836,PKR,2026-05-26
bought home appliances online,Home & Rent,146171,PKR,2026-06-25
bought perfume yesterday,Personal Care,7997,PKR,2026-05-24
filled petrol in car yesterday,Transportation,4415,PKR,2026-05-07
paid travel fare for family,Travel,93474,PKR,2026-07-16
paid course fee,Education,4189,PKR,2026-06-01
bought milk this week,Food & Groceries,5815,PKR,2026-07-27
miscellaneous purchase,Other,11282,PKR,2026-04-08
paid internet bill this week,Utilities,12210,PKR,2026-04-16
bought medicine online,Healthcare,16305,PKR,2026-03-05
bought handbag for family,Shopping,3083,PKR,2026-06-26
paid water bill,Utilities,11562,PKR,2026-02-13
restaurant dinner,Food & Groceries,7651,PKR,2026-06-18
bought concert ticket for family,Entertainment,14968,PKR,2026-04-18
paid university fee online,Education,62064,PKR,2026-05-31
restaurant dinner yesterday,Food & Groceries,9444,PKR,2026-04-10
paid medical bill,Healthcare,32305,PKR,2026-01-26
paid miscellaneous charges this week,Other,16376,PKR,2026-05-09
bought furniture today,Home & Rent,79517,PKR,2026-04-04
bought movie ticket yesterday,Entertainment,10611,PKR,2026-08-05
paid utility bill today,Utilities,9916,PKR,2026-03-09
bought flour for family,Food & Groceries,6686,PKR,2026-07-25
online shopping online,Shopping,3313,PKR,2026-07-03
booked hotel for family,Travel,89300,PKR,2026-03-11
paid utility bill for family,Utilities,16073,PKR,2026-04-20
bought watch,Shopping,21649,PKR,2026-07-30
bought notebooks yesterday,Education,87460,PKR,2026-05-19
paid doctor fee yesterday,Healthcare,26665,PKR,2026-03-06
booked bus ticket yesterday,Travel,144540,PKR,2026-02-16
bought bread for family,Food & Groceries,8278,PKR,2026-02-24
home repair online,Home & Rent,123498,PKR,2026-03-10
paid maintenance charges for family,Home & Rent,114698,PKR,2026-05-25
miscellaneous expense for family,Other,6674,PKR,2026-04-04
paid loan installment today,Bills & Payments,20222,PKR,2026-07-11
home repair this week,Home & Rent,115134,PKR,2026-04-16
bought prescription medicine,Healthcare,41845,PKR,2026-02-22
paid streaming subscription this week,Entertainment,10784,PKR,2026-02-11
paid school fee yesterday,Education,31758,PKR,2026-01-30
paid taxi fare,Transportation,4123,PKR,2026-07-24
paid exam fee yesterday,Education,73877,PKR,2026-04-22
played games,Entertainment,3509,PKR,2026-02-10
bought stationery,Education,34368,PKR,2026-07-22
bought stationery online,Education,6035,PKR,2026-07-04
paid credit card bill,Bills & Payments,11500,PKR,2026-03-22
bought train ticket,Travel,107694,PKR,2026-08-18
dental checkup online,Healthcare,6218,PKR,2026-04-12
paid miscellaneous charges today,Other,3767,PKR,2026-05-27
miscellaneous purchase,Other,17203,PKR,2026-06-20
travel expenses for family,Travel,67009,PKR,2026-05-08
paid gas bill for family,Utilities,4506,PKR,2026-07-17
visited hospital for family,Healthcare,48615,PKR,2026-04-10
paid miscellaneous charges yesterday,Other,7243,PKR,2026-02-06
paid gas bill today,Utilities,9496,PKR,2026-04-23
paid streaming subscription for family,Entertainment,1116,PKR,2026-05-06
bought skincare products online,Personal Care,2050,PKR,2026-03-23
visited salon yesterday,Personal Care,11385,PKR,2026-03-05
bought stationery this week,Education,62788,PKR,2026-07-03
bought prescription medicine this week,Healthcare,1681,PKR,2026-06-15
booked hotel online,Travel,15332,PKR,2026-06-26
paid apartment rent this week,Home & Rent,145894,PKR,2026-04-09
paid course fee online,Education,16497,PKR,2026-05-17
bought accessories yesterday,Shopping,557,PKR,2026-04-11
bought notebooks,Education,99677,PKR,2026-03-02
paid school fee today,Education,58020,PKR,2026-06-11
bought prescription medicine online,Healthcare,26926,PKR,2026-07-22
bought rice,Food & Groceries,13587,PKR,2026-07-19
paid monthly bill online,Bills & Payments,54627,PKR,2026-08-04
dental checkup yesterday,Healthcare,6879,PKR,2026-07-31
booked ride for family,Transportation,1187,PKR,2026-04-01
bought concert ticket online,Entertainment,13527,PKR,2026-05-21
general expense yesterday,Other,996,PKR,2026-07-15
bought bread online,Food & Groceries,7364,PKR,2026-07-22
paid apartment rent,Home & Rent,106031,PKR,2026-02-21
bought furniture this week,Home & Rent,22556,PKR,2026-01-29
paid taxi fare for family,Transportation,11791,PKR,2026-07-16
home repair today,Home & Rent,108561,PKR,2026-07-22
bought vitamins yesterday,Healthcare,48480,PKR,2026-02-04
bought stationery online,Education,78228,PKR,2026-07-31
bought prescription medicine this week,Healthcare,13319,PKR,2026-01-22
paid streaming subscription today,Entertainment,6647,PKR,2026-08-13
paid gaming subscription for family,Entertainment,3877,PKR,2026-01-06
bought chicken,Food & Groceries,7676,PKR,2026-02-20
bought stationery,Education,53064,PKR,2026-06-08
bought concert ticket this week,Entertainment,2645,PKR,2026-01-23
paid doctor fee for family,Healthcare,7990,PKR,2026-01-04
miscellaneous purchase yesterday,Other,14967,PKR,2026-07-31
bought home appliances,Home & Rent,59847,PKR,2026-07-02
bought trousers this week,Shopping,9735,PKR,2026-07-11
paid monthly bill today,Bills & Payments,57032,PKR,2026-08-08
online shopping today,Shopping,27303,PKR,2026-03-14
paid miscellaneous charges yesterday,Other,6010,PKR,2026-04-15
filled petrol in car this week,Transportation,4389,PKR,2026-03-02
paid travel fare today,Travel,97898,PKR,2026-05-30
bought cleaning supplies yesterday,Home & Rent,23475,PKR,2026-01-03
paid loan installment this week,Bills & Payments,91335,PKR,2026-04-12
paid apartment rent online,Home & Rent,101531,PKR,2026-07-01
played games for family,Entertainment,4398,PKR,2026-01-19
paid utility bill,Utilities,2207,PKR,2026-03-27
bought accessories this week,Shopping,20169,PKR,2026-06-21
paid hotel bill online,Travel,12930,PKR,2026-01-02
bought educational material this week,Education,52233,PKR,2026-06-21
paid doctor fee for family,Healthcare,2995,PKR,2026-05-29
booked ride today,Transportation,8353,PKR,2026-05-07
bought vitamins today,Healthcare,6175,PKR,2026-03-23
miscellaneous purchase yesterday,Other,4746,PKR,2026-03-08
paid water bill,Utilities,4690,PKR,2026-05-08
paid course fee yesterday,Education,37583,PKR,2026-08-20
bought notebooks for family,Education,41526,PKR,2026-04-22
paid rickshaw fare online,Transportation,8149,PKR,2026-07-15
changed car oil,Transportation,3195,PKR,2026-02-08
bought chicken today,Food & Groceries,687,PKR,2026-05-01
bought stationery online,Education,61728,PKR,2026-04-22
paid internet bill,Utilities,14967,PKR,2026-04-02
miscellaneous purchase yesterday,Other,15099,PKR,2026-05-07
paid mobile bill today,Utilities,4551,PKR,2026-03-31
paid gas bill this week,Utilities,6419,PKR,2026-08-02
booked ride for family,Transportation,14696,PKR,2026-06-19
booked flight for family,Travel,2081,PKR,2026-05-15
booked flight yesterday,Travel,21141,PKR,2026-03-05
paid online bill,Bills & Payments,43577,PKR,2026-01-07
bought books yesterday,Education,49463,PKR,2026-06-01
paid water bill today,Utilities,1446,PKR,2026-01-21
paid online bill online,Bills & Payments,63395,PKR,2026-04-27
